"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
17903_3,281,"13","",3,"","",""
17905_3,281,"13","",3,"","",""
17906_3,281,"130","",3,"","",""
17908_3,281,"14","",3,"","",""
17911_3,281,"14","",3,"","",""
17912_3,281,"140","",3,"","",""
17913_3,281,"15","",3,"","",""
17914_3,281,"15","",3,"","",""
17915_3,281,"15","",3,"","",""
17917_3,281,"150","",3,"","",""
17919_3,281,"16","",3,"","",""
17921_3,281,"16","",3,"","",""
17923_3,281,"17","",3,"","",""
17924_3,281,"171","",3,"","",""
17925_3,281,"172","",3,"","",""
17926_3,281,"18","",3,"","",""
17927_3,281,"182","",3,"","",""
17928_3,281,"19","",3,"","",""
17929_3,281,"19","",3,"","",""
17930_3,281,"190","",3,"","",""
17931_3,281,"191","",3,"","",""
17933_3,281,"1N","",3,"","",""
17934_3,281,"2","",3,"","",""
17935_3,281,"2","",3,"","",""
17936_3,281,"2","",3,"","",""
17937_3,281,"2","",3,"","",""
17938_3,281,"2","",3,"","",""
17939_3,281,"2","",3,"","",""
17940_3,281,"2","",3,"","",""
17942_3,281,"202","",3,"","",""
17943_3,281,"205","",3,"","",""
17945_3,281,"21","",3,"","",""
17946_3,281,"21","",3,"","",""
17947_3,281,"21","",3,"","",""
17948_3,281,"211","",3,"","",""
17949_3,281,"212","",3,"","",""
17950_3,281,"213","",3,"","",""
17951_3,281,"214","",3,"","",""
17952_3,281,"215","",3,"","",""
17953_3,281,"217","",3,"","",""
17955_3,281,"221","",3,"","",""
17956_3,281,"223","",3,"","",""
17957_3,281,"23","",3,"","",""
17959_3,281,"230","",3,"","",""
17960_3,281,"231","",3,"","",""
17961_3,281,"235","",3,"","",""
17962_3,281,"237","",3,"","",""
17963_3,281,"238","",3,"","",""
17964_3,281,"24","",3,"","",""
17967_3,281,"26","",3,"","",""
17969_3,281,"260","",3,"","",""
17970_3,281,"270","",3,"","",""
17971_3,281,"28","",3,"","",""
17973_3,281,"283","",3,"","",""
17974_3,281,"29","",3,"","",""
17976_3,281,"3","",3,"","",""
17977_3,281,"3","",3,"","",""
17978_3,281,"3","",3,"","",""
17979_3,281,"3","",3,"","",""
17980_3,281,"3","",3,"","",""
17981_3,281,"3","",3,"","",""
17983_3,281,"3","",3,"","",""
17993_3,281,"306","",3,"","",""
17995_3,281,"31","",3,"","",""
17998_3,281,"311","",3,"","",""
18001_3,281,"313","",3,"","",""
18002_3,281,"314","",3,"","",""
18004_3,281,"32","",3,"","",""
18007_3,281,"330","",3,"","",""
18008_3,281,"331","",3,"","",""
18009_3,281,"335","",3,"","",""
18011_3,281,"34","",3,"","",""
18012_3,281,"342","",3,"","",""
18013_3,281,"346","",3,"","",""
18014_3,281,"349","",3,"","",""
18015_3,281,"35","",3,"","",""
18017_3,281,"351","",3,"","",""
18018_3,281,"352","",3,"","",""
18019_3,281,"361","",3,"","",""
18021_3,281,"4","",3,"","",""
18022_3,281,"4","",3,"","",""
18023_3,281,"4","",3,"","",""
18024_3,281,"4","",3,"","",""
18025_3,281,"4","",3,"","",""
18033_3,281,"4N","",3,"","",""
18034_3,281,"5","",3,"","",""
18036_3,281,"5","",3,"","",""
18037_3,281,"5","",3,"","",""
18038_3,281,"5","",3,"","",""
18041_3,281,"50","",3,"","",""
18042_3,281,"501","",3,"","",""
18043_3,281,"502","",3,"","",""
18045_3,281,"509","",3,"","",""
18047_3,281,"513","",3,"","",""
18048_3,281,"515","",3,"","",""
18049_3,281,"518","",3,"","",""
18051_3,281,"523","",3,"","",""
18052_3,281,"53","",3,"","",""
18055_3,281,"55","",3,"","",""
18058_3,281,"560","",3,"","",""
18059_3,281,"567","",3,"","",""
18060_3,281,"570","",3,"","",""
18065_3,281,"59","",3,"","",""
18066_3,281,"6","",3,"","",""
18068_3,281,"6","",3,"","",""
18073_3,281,"60","",3,"","",""
18076_3,281,"62","",3,"","",""
18078_3,281,"64","",3,"","",""
18082_3,281,"671","",3,"","",""
18083_3,281,"69","",3,"","",""
18084_3,281,"696","",3,"","",""
